trans_date_trans_time	merchant	category	amt	city	state	lat	long	city_pop	job	dob	trans_num	merch_lat	merch_long	is_fraud
01-01-2019 00:00	"Heller, Gutmann and Zieme"	grocery_pos	107.23	Orient	WA	48.8878	-118.2105	149	Special educational needs teacher	21-06-1978	1f76529f8574734946361c461b024d99	49.159	-118.1865	0
01-01-2019 00:00	Lind-Buckridge	entertainment	220.11	Malad City	ID	42.1808	-112.262	4154	Nature conservation officer	19-01-1962	a1a22d70485983eac12b5b88dad1cf95	43.1507	-112.1545	0
01-01-2019 00:07	Kiehn Inc	grocery_pos	96.29	Grenada	CA	41.6125	-122.5258	589	Systems analyst	21-12-1945	413636e759663f264aae1819a4d4f231	41.6575	-122.2303	0
01-01-2019 00:09	Beier-Hyatt	shopping_pos	7.77	High Rolls Mountain Park	NM	32.9396	-105.8189	899	Naval architect	30-08-1967	8a6293af5ed278dea14448ded2685fea	32.8633	-106.5202	0
01-01-2019 00:21	Bruen-Yost	misc_pos	6.85	Freedom	WY	43.0172	-111.0292	471	"Education officer, museum"	02-08-1967	f3c43d336e92a44fc2fb67058d5949e3	43.7537	-111.4549	0
01-01-2019 00:22	Kunze Inc	grocery_pos	90.22	Honokaa	HI	20.0827	-155.488	4878	Physiotherapist	03-12-1966	95826e3caa9e0b905294c6dae985aec1	19.56	-156.0459	0
01-01-2019 00:22	"Nitzsche, Kessler and Wol"	shopping_pos	4.02	Valentine	NE	42.8062	-100.6215	4005	Network engineer	15-03-1945	20490f3f0966ce74b4aaba8dc2c4ed52	42.4756	-101.2658	0
01-01-2019 00:22	"Kihn, Abernathy and Douglas"	shopping_net	3.66	Westfir	OR	43.7575	-122.481	597	Forensic psychologist	19-05-1961	870c92b288a974a2faf1f24b05c27e33	44.2782	-121.8152	0
01-01-2019 00:31	Ledner-Pfannerstill	gas_transport	102.13	Thompson	UT	38.9999	-109.615	46	"Surveyor, minerals"	23-04-1987	47238da5b40d126c8abea40a857c7809	39.8073	-109.3483	0
01-01-2019 00:34	Stracke-Lemke	grocery_pos	83.07	Conway	WA	48.34	-122.3456	85	"Research officer, political party"	01-09-1984	9b7a0619dcc5c572dc134f2827ed5a6b	48.6821	-122.7199	0
01-01-2019 00:40	Cummerata-Jones	gas_transport	70.53	Athena	OR	45.8289	-118.4971	1302	Dealer	18-10-1976	7b91bd200c11c5cd24b43694e12b5bbc	46.0433	-117.9621	0
01-01-2019 00:41	Huel-Langworth	misc_net	177.57	Thompson	UT	38.9999	-109.615	46	"Surveyor, minerals"	23-04-1987	048dc7fc7ae8efd51f59f7176e6a8bd7	38.4194	-109.3803	0
01-01-2019 00:46	"Ferry, Lynch and Kautze"	misc_net	2.76	San Jose	CA	37.3304	-121.7913	973849	Science writer	12-06-1955	70ca7fe41f09770d724a027152dcb9f0	37.5485	-121.5365	0
01-01-2019 00:49	"Little, Gutmann and Lynch"	shopping_net	83.52	Ravenna	NE	41.0233	-98.9041	2202	"Solicitor, Scotland"	21-06-1974	5f7aafc802c8acb5924041bca310040f	40.9921	-98.8316	0
01-01-2019 00:56	"Swaniawski, Lowe and Robel"	shopping_pos	317.14	Parks	AZ	35.2563	-111.95	759	"Geologist, engineering"	28-03-1957	3fe3286b0ea3f8c8857ec2e3da17b853	35.2681	-112.6829	0
01-01-2019 00:56	"Reichert, Huels and Hoppe"	shopping_net	113.4	Fort Washakie	WY	43.0048	-108.8964	1645	Freight forwarder	26-02-1976	9d660a18154a3ba5fe869f373c6f819c	42.869	-108.5033	0
01-01-2019 01:00	Howe Lt	misc_pos	218.71	Littleton	CO	39.5994	-105.0044	320420	Water engineer	31-07-1975	43204045928cb3449edc63078a75b48c	39.3352	-104.1029	0
01-01-2019 01:02	Wolf Inc	grocery_pos	89.11	Meadville	MO	39.7795	-93.3014	964	Tourist information centre manager	23-12-1974	1cb03ad950bab1ca74b02500644ec1ba	40.7733	-92.8213	0
01-01-2019 01:04	Vandervort-Funk	grocery_pos	50.68	Moab	UT	38.5677	-109.5271	9772	Location manager	24-11-1989	61861370b5c31b9c00fd949124944d7a	38.4825	-108.8539	0
01-01-2019 01:09	Ledner-Pfannerstill	gas_transport	90.54	Hawthorne	CA	33.9143	-118.3493	93193	"Editor, magazine features"	19-04-1995	295b782f9fa48f76f508179ec6412f9d	32.9903	-117.8368	0
01-01-2019 01:19	"Schaefer, McGlynn and Bosco"	gas_transport	51.33	Manville	WY	42.73	-104.7024	241	Educational psychologist	16-12-1980	a8af4c635415817aaeea5cbbe380e010	42.5082	-105.3448	0
01-01-2019 01:22	Fisher-Schowalte	shopping_net	226.33	June Lake	CA	37.7773	-119.0825	633	Health service manager	09-09-1927	208e003f309f9db37b3c40ddc9271908	36.8198	-119.6706	0
